Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
63.0,9.375,6.629126073623883,0.0,23.4375,9.375,13.258252147247767,4.6875,0.0,14.0625,0.0,9.375,0.0,9.375,0.0,4.6875,0.0,9.375,0.0,4.6875,9.375,0.0
64.0,9.375,4.6875,0.0,4.6875,0.0,18.75,4.6875,14.823176532039279,14.0625,0.0,0.0,0.0,19.327057620082783,9.375,10.481568644530265,14.0625,9.375,4.6875,0.0,9.375,14.0625
65.0,0.0,13.258252147247767,9.375,27.332587007087344,0.0,23.4375,9.375,14.823176532039279,4.6875,0.0,0.0,0.0,18.75,9.375,10.481568644530265,14.0625,9.375,4.6875,6.629126073623883,4.6875,14.823176532039279
66.0,4.6875,0.0,4.6875,0.0,10.481568644530265,4.6875,10.481568644530265,4.6875,10.481568644530265,4.6875,4.6875,14.0625,10.481568644530265,16.90102160373745,4.6875,0.0,0.0,4.6875,4.6875,0.0,4.6875
67.0,14.823176532039279,10.481568644530265,9.375,0.0,14.823176532039279,14.0625,14.823176532039279,10.481568644530265,19.327057620082783,9.375,33.14563036811941,28.125,18.75,23.4375,10.481568644530265,35.69893643373707,4.6875,19.327057620082783,19.327057620082783,4.6875,0.0
68.0,28.125,10.481568644530265,28.125,4.6875,9.375,9.375,9.375,14.0625,23.4375,0.0,9.375,0.0,28.125,0.0,23.90165396996618,9.375,23.90165396996618,9.375,4.6875,28.512949360772904,32.8125
69.0,0.0,0.0,16.90102160373745,0.0,9.375,9.375,9.375,14.0625,4.6875,0.0,9.375,4.6875,28.125,14.0625,23.90165396996618,10.481568644530265,23.4375,10.481568644530265,0.0,9.375,32.8125
70.0,4.6875,9.375,0.0,4.6875,4.6875,14.0625,4.6875,9.375,23.4375,9.375,19.327057620082783,23.4375,0.0,0.0,0.0,18.75,0.0,18.75,18.75,18.75,4.6875
71.0,1378.1329719157184,32.8125,16.90102160373745,23.90165396996618,16.90102160373745,14.0625,14.0625,23.90165396996618,20.96313728906053,33.14563036811941,14.823176532039279,0.0,43.21661464356041,27.332587007087344,28.512949360772904,25.242960033442987,9.375,16.90102160373745,18.75,14.0625,28.125
72.0,4.6875,0.0,1321.8833111440852,0.0,10.481568644530265,9.375,10.481568644530265,4.6875,9.375,0.0,9.375,0.0,9.375,4.6875,0.0,0.0,10.481568644530265,9.375,4.6875,0.0,4.6875
73.0,0.0,0.0,1321.875,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,4.6875,4.6875,9.375,4.6875,9.375,9.375,0.0,0.0,0.0,0.0
74.0,1335.9457236588992,0.0,4.6875,4.6875,9.375,9.375,0.0,10.481568644530265,0.0,14.0625,0.0,10.481568644530265,14.823176532039279,14.0625,0.0,18.75,0.0,9.375,9.375,0.0,9.375
75.0,0.0,0.0,9.375,9.375,9.375,0.0,0.0,0.0,14.0625,4.6875,9.375,4.6875,0.0,10.481568644530265,4.6875,0.0,0.0,0.0,0.0,0.0,4.6875
76.0,0.0,4.6875,4.6875,4.6875,0.0,6.629126073623883,0.0,4.6875,0.0,4.6875,0.0,9.375,4.6875,20.96313728906053,9.375,9.375,4.6875,0.0,6.629126073623883,0.0,4.6875
77.0,0.0,14.823176532039279,4.6875,4.6875,0.0,6.629126073623883,0.0,4.6875,14.0625,0.0,4.6875,0.0,0.0,9.375,4.6875,9.375,9.375,0.0,4.6875,0.0,0.0
